Model,Train_R2,Test_R2,Test_MAE,Test_RMSE,Overfit_Gap
Ridge Deployment,0.9882983530891127,0.8744286009294797,104371.62333037982,121936.40414660744,0.11386975215963302
XGBoost,0.9999999473424759,0.8611468143858518,108566.48897058824,133578.93642998024,0.13885313295662405
Random Forest,0.8855901207729714,0.7223824427004848,136026.38429456943,188878.93339195577,0.1632076780724866
Panel FE Macro,0.9864052082452456,0.42727240237672237,126333.91435227128,260412.64730529653,0.5591328058685232
Lasso,0.935601890607676,0.33638063407436136,253250.9519234905,292024.6976145735,0.5992212565333146
OLS Baseline,0.3514201974986856,0.1827552493491743,256949.42178302174,311074.26742630213,0.16866494814951127
Panel FE Full,0.9987772464815785,-23.630001083220307,1766888.5582534098,1779066.8719703937,24.628778329701884
