date,last,open,high,low,volume,change_percent
2024-05-27,16060.0,16030.0,16072.5,16015.0,,0.09
2024-05-28,16085.0,16070.0,16101.5,16070.0,,0.16
2024-05-29,16155.0,16130.0,16167.5,16117.5,,0.44
2024-05-30,16255.0,16222.5,16275.0,16222.5,,0.62
2024-05-31,16245.0,16265.0,16267.5,16237.5,,-0.06
2024-06-03,16225.0,16255.0,16265.0,16205.0,,-0.12
2024-06-04,16215.0,16195.0,16240.0,16190.0,,-0.06
2024-06-05,16280.0,16255.0,16293.5,16247.5,,0.4
2024-06-06,16255.0,16285.0,16287.5,16257.5,,-0.15
2024-06-07,16190.0,16240.0,16245.0,16190.0,,-0.4
2024-06-10,16275.0,16265.0,16295.5,16247.5,,0.53
2024-06-11,16285.0,16285.0,16302.5,16278.0,,0.06
2024-06-12,16290.0,16297.5,16305.5,16287.5,,0.03
2024-06-13,16265.0,16270.0,16292.5,16262.5,,-0.15
2024-06-14,16395.0,16287.5,16417.5,16282.5,,0.8
2024-06-17,16486.0,16486.5,16489.7,16404.9,,0.56
2024-06-18,16376.1,16486.0,16486.0,16360.0,,-0.67
2024-06-19,16360.0,16405.0,16405.0,16345.0,,-0.1
2024-06-20,16425.0,16375.0,16430.0,16371.5,,0.4
2024-06-21,16445.0,16465.0,16482.5,16440.0,,0.12
2024-06-24,16390.0,16470.0,16475.0,16394.0,,-0.33
2024-06-25,16370.0,16382.5,16465.0,16360.0,,-0.12
2024-06-26,16400.0,16420.0,16450.0,16400.0,,0.18
2024-06-27,16395.0,16410.0,16432.5,16392.5,,-0.03
2024-06-28,16370.0,16410.0,16422.5,16375.0,,-0.15
2024-07-01,16320.0,16352.5,16412.5,16315.0,,-0.31
2024-07-02,16390.0,16355.0,16402.5,16347.5,,0.43
2024-07-03,16365.0,16382.5,16401.5,16365.0,,-0.15
2024-07-04,16325.0,16330.0,16356.5,16320.0,,-0.24
2024-07-05,16275.0,16332.5,16345.0,16270.0,,-0.31
2024-07-08,16250.0,16275.0,16285.0,16246.5,,-0.15
2024-07-09,16245.0,16300.0,16315.0,16249.5,,-0.03
2024-07-10,16235.0,16287.5,16300.0,16238.5,,-0.06
2024-07-11,16190.0,16217.5,16220.0,16185.0,,-0.28
2024-07-12,16135.0,16135.0,16164.5,16130.0,,-0.34
2024-07-15,16165.0,16145.0,16189.0,16137.5,,0.19
2024-07-16,16175.0,16200.0,16252.5,16179.5,,0.06
2024-07-17,16095.0,16155.0,16165.0,16096.0,,-0.49
2024-07-18,16150.0,16135.0,16170.0,16125.0,,0.34
2024-07-19,16185.0,16195.0,16225.0,16175.0,,0.22
2024-07-22,16215.0,16210.0,16237.5,16205.0,,0.19
2024-07-23,16205.0,16215.0,16222.5,16185.0,,-0.06
2024-07-24,16210.0,16220.0,16232.5,16210.0,,0.03
2024-07-25,16245.0,16237.5,16276.0,16230.0,,0.22
2024-07-26,16285.0,16287.5,16302.5,16267.5,,0.25
2024-07-29,16275.0,16290.0,16295.0,16266.5,,-0.06
2024-07-30,16295.0,16305.0,16332.5,16290.0,,0.12
2024-07-31,16255.0,16305.0,16323.0,16259.0,,-0.25
2024-08-01,16230.0,16255.0,16270.0,16210.0,,-0.15
2024-08-02,16195.0,16260.0,16281.5,16194.5,,-0.22
2024-08-05,16180.0,16180.0,16197.5,16122.5,,-0.09
2024-08-06,16160.0,16210.0,16215.0,16165.0,,-0.12
2024-08-07,16030.0,16160.0,16177.5,16021.5,,-0.8
2024-08-08,15890.0,16005.0,16012.5,15894.0,,-0.87
2024-08-09,15920.0,15937.5,15945.0,15884.0,,0.19
2024-08-12,15950.0,15940.0,15985.0,15925.0,,0.19
2024-08-13,15830.0,15935.0,15962.5,15824.5,,-0.75
2024-08-14,15675.0,15725.0,15737.5,15665.0,,-0.98
2024-08-15,15690.0,15615.0,15720.0,15615.0,,0.1
2024-08-16,15685.0,15755.0,15759.0,15675.0,,-0.03
2024-08-19,15545.0,15635.0,15656.5,15550.0,,-0.89
2024-08-20,15430.0,15515.0,15522.5,15420.0,,-0.74
2024-08-21,15480.0,15450.0,15500.0,15422.0,,0.32
2024-08-22,15595.0,15505.0,15642.5,15505.0,,0.74
2024-08-23,15485.0,15635.0,15662.5,15425.0,,-0.71
2024-08-26,15425.0,15341.0,15435.0,15295.0,,-0.39
2024-08-27,15490.0,15480.0,15545.0,15460.0,,0.42
2024-08-28,15420.0,15517.5,15532.5,15420.0,,-0.45
2024-08-29,15410.0,15420.0,15447.5,15367.5,,-0.06
2024-08-30,15450.0,15450.0,15490.0,15437.5,,0.26
2024-09-02,15520.0,15497.5,15555.0,15492.5,,0.45
2024-09-03,15520.0,15547.5,15583.5,15522.5,,0.0
