38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2015
ACEH,69.45
SUMATERA UTARA,69.51
SUMATERA BARAT,69.98
RIAU,70.84
JAMBI,68.89
SUMATERA SELATAN,67.46
BENGKULU,68.59
LAMPUNG,66.95
KEP. BANGKA BELITUNG,69.05
KEP. RIAU,73.75
DKI JAKARTA,78.99
JAWA BARAT,69.5
JAWA TENGAH,69.49
DI YOGYAKARTA,77.59
JAWA TIMUR,68.95
BANTEN,70.27
BALI,73.27
NUSA TENGGARA BARAT,65.19
NUSA TENGGARA TIMUR,62.67
KALIMANTAN BARAT,65.59
KALIMANTAN TENGAH,68.53
KALIMANTAN SELATAN,68.38
KALIMANTAN TIMUR,74.17
KALIMANTAN UTARA,68.76
SULAWESI UTARA,70.39
SULAWESI TENGAH,66.76
SULAWESI SELATAN,69.15
SULAWESI TENGGARA,68.75
GORONTALO,65.86
SULAWESI BARAT,62.96
MALUKU,67.05
MALUKU UTARA,65.91
PAPUA BARAT,61.73
PAPUA BARAT DAYA,-
PAPUA,57.25
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,69.55
