38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2018
ACEH,71.19
SUMATERA UTARA,71.18
SUMATERA BARAT,71.73
RIAU,72.44
JAMBI,70.65
SUMATERA SELATAN,69.39
BENGKULU,70.64
LAMPUNG,69.02
KEP. BANGKA BELITUNG,70.67
KEP. RIAU,74.84
DKI JAKARTA,80.47
JAWA BARAT,71.3
JAWA TENGAH,71.12
DI YOGYAKARTA,79.53
JAWA TIMUR,70.77
BANTEN,71.95
BALI,74.77
NUSA TENGGARA BARAT,67.3
NUSA TENGGARA TIMUR,64.39
KALIMANTAN BARAT,66.98
KALIMANTAN TENGAH,70.42
KALIMANTAN SELATAN,70.17
KALIMANTAN TIMUR,75.83
KALIMANTAN UTARA,70.56
SULAWESI UTARA,72.2
SULAWESI TENGAH,68.88
SULAWESI SELATAN,70.9
SULAWESI TENGGARA,70.61
GORONTALO,67.71
SULAWESI BARAT,65.1
MALUKU,68.87
MALUKU UTARA,67.76
PAPUA BARAT,63.74
PAPUA BARAT DAYA,-
PAPUA,60.06
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,71.39
