38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2011
ACEH,67.45
SUMATERA UTARA,67.34
SUMATERA BARAT,67.81
RIAU,68.9
JAMBI,66.14
SUMATERA SELATAN,65.12
BENGKULU,65.96
LAMPUNG,64.2
KEP. BANGKA BELITUNG,66.59
KEP. RIAU,71.61
DKI JAKARTA,76.98
JAWA BARAT,66.67
JAWA TENGAH,66.64
DI YOGYAKARTA,75.93
JAWA TIMUR,66.06
BANTEN,68.22
BALI,70.87
NUSA TENGGARA BARAT,62.14
NUSA TENGGARA TIMUR,60.24
KALIMANTAN BARAT,62.35
KALIMANTAN TENGAH,66.38
KALIMANTAN SELATAN,65.89
KALIMANTAN TIMUR,72.02
KALIMANTAN UTARA,-
SULAWESI UTARA,68.31
SULAWESI TENGAH,64.27
SULAWESI SELATAN,66.65
SULAWESI TENGGARA,66.52
GORONTALO,63.48
SULAWESI BARAT,60.63
MALUKU,64.75
MALUKU UTARA,63.19
PAPUA BARAT,59.9
PAPUA BARAT DAYA,-
PAPUA,55.01
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,67.09
