38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2013
ACEH,68.3
SUMATERA UTARA,68.36
SUMATERA BARAT,68.91
RIAU,69.91
JAMBI,67.76
SUMATERA SELATAN,66.16
BENGKULU,67.5
LAMPUNG,65.73
KEP. BANGKA BELITUNG,67.92
KEP. RIAU,73.02
DKI JAKARTA,78.08
JAWA BARAT,68.25
JAWA TENGAH,68.02
DI YOGYAKARTA,76.44
JAWA TIMUR,67.55
BANTEN,69.47
BALI,72.09
NUSA TENGGARA BARAT,63.76
NUSA TENGGARA TIMUR,61.68
KALIMANTAN BARAT,64.3
KALIMANTAN TENGAH,67.41
KALIMANTAN SELATAN,67.17
KALIMANTAN TIMUR,73.21
KALIMANTAN UTARA,67.99
SULAWESI UTARA,69.49
SULAWESI TENGAH,65.79
SULAWESI SELATAN,67.92
SULAWESI TENGGARA,67.55
GORONTALO,64.7
SULAWESI BARAT,61.53
MALUKU,66.09
MALUKU UTARA,64.78
PAPUA BARAT,60.91
PAPUA BARAT DAYA,-
PAPUA,56.25
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,68.31
