38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2021
ACEH,72.18
SUMATERA UTARA,72
SUMATERA BARAT,72.65
RIAU,72.94
JAMBI,71.63
SUMATERA SELATAN,70.24
BENGKULU,71.64
LAMPUNG,69.9
KEP. BANGKA BELITUNG,71.69
KEP. RIAU,75.79
DKI JAKARTA,81.11
JAWA BARAT,72.45
JAWA TENGAH,72.16
DI YOGYAKARTA,80.22
JAWA TIMUR,72.14
BANTEN,72.72
BALI,75.69
NUSA TENGGARA BARAT,68.65
NUSA TENGGARA TIMUR,65.28
KALIMANTAN BARAT,67.9
KALIMANTAN TENGAH,71.25
KALIMANTAN SELATAN,71.28
KALIMANTAN TIMUR,76.88
KALIMANTAN UTARA,71.19
SULAWESI UTARA,73.3
SULAWESI TENGAH,69.79
SULAWESI SELATAN,72.24
SULAWESI TENGGARA,71.66
GORONTALO,69
SULAWESI BARAT,66.36
MALUKU,69.71
MALUKU UTARA,68.76
PAPUA BARAT,65.26
PAPUA BARAT DAYA,-
PAPUA,60.62
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,72.29
