38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2016
ACEH,70
SUMATERA UTARA,70
SUMATERA BARAT,70.73
RIAU,71.2
JAMBI,69.62
SUMATERA SELATAN,68.24
BENGKULU,69.33
LAMPUNG,67.65
KEP. BANGKA BELITUNG,69.55
KEP. RIAU,73.99
DKI JAKARTA,79.6
JAWA BARAT,70.05
JAWA TENGAH,69.98
DI YOGYAKARTA,78.38
JAWA TIMUR,69.74
BANTEN,70.96
BALI,73.65
NUSA TENGGARA BARAT,65.81
NUSA TENGGARA TIMUR,63.13
KALIMANTAN BARAT,65.88
KALIMANTAN TENGAH,69.13
KALIMANTAN SELATAN,69.05
KALIMANTAN TIMUR,74.59
KALIMANTAN UTARA,69.2
SULAWESI UTARA,71.05
SULAWESI TENGAH,67.47
SULAWESI SELATAN,69.76
SULAWESI TENGGARA,69.31
GORONTALO,66.29
SULAWESI BARAT,63.6
MALUKU,67.6
MALUKU UTARA,66.63
PAPUA BARAT,62.21
PAPUA BARAT DAYA,-
PAPUA,58.05
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,70.18
