38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2023
ACEH,73.4
SUMATERA UTARA,73.37
SUMATERA BARAT,73.75
RIAU,74.04
JAMBI,72.77
SUMATERA SELATAN,71.62
BENGKULU,72.78
LAMPUNG,71.15
KEP. BANGKA BELITUNG,72.85
KEP. RIAU,77.11
DKI JAKARTA,82.46
JAWA BARAT,73.74
JAWA TENGAH,73.39
DI YOGYAKARTA,81.07
JAWA TIMUR,73.38
BANTEN,73.87
BALI,77.1
NUSA TENGGARA BARAT,70.2
NUSA TENGGARA TIMUR,66.68
KALIMANTAN BARAT,69.41
KALIMANTAN TENGAH,72.2
KALIMANTAN SELATAN,72.5
KALIMANTAN TIMUR,78.2
KALIMANTAN UTARA,72.49
SULAWESI UTARA,74.36
SULAWESI TENGAH,70.95
SULAWESI SELATAN,73.46
SULAWESI TENGGARA,72.79
GORONTALO,70.45
SULAWESI BARAT,67.55
MALUKU,70.94
MALUKU UTARA,70.21
PAPUA BARAT,66.16
PAPUA BARAT DAYA,68.05
PAPUA,72.41
PAPUA SELATAN,67.27
PAPUA TENGAH,58.93
PAPUA PEGUNUNGAN,52.45
INDONESIA,73.55
