38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2017
ACEH,70.6
SUMATERA UTARA,70.57
SUMATERA BARAT,71.24
RIAU,71.79
JAMBI,69.99
SUMATERA SELATAN,68.86
BENGKULU,69.95
LAMPUNG,68.25
KEP. BANGKA BELITUNG,69.99
KEP. RIAU,74.45
DKI JAKARTA,80.06
JAWA BARAT,70.69
JAWA TENGAH,70.52
DI YOGYAKARTA,78.89
JAWA TIMUR,70.27
BANTEN,71.42
BALI,74.3
NUSA TENGGARA BARAT,66.58
NUSA TENGGARA TIMUR,63.73
KALIMANTAN BARAT,66.26
KALIMANTAN TENGAH,69.79
KALIMANTAN SELATAN,69.65
KALIMANTAN TIMUR,75.12
KALIMANTAN UTARA,69.84
SULAWESI UTARA,71.66
SULAWESI TENGAH,68.11
SULAWESI SELATAN,70.34
SULAWESI TENGGARA,69.86
GORONTALO,67.01
SULAWESI BARAT,64.3
MALUKU,68.19
MALUKU UTARA,67.2
PAPUA BARAT,62.99
PAPUA BARAT DAYA,-
PAPUA,59.09
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,70.81
