38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2010
ACEH,67.09
SUMATERA UTARA,67.09
SUMATERA BARAT,67.25
RIAU,68.65
JAMBI,65.39
SUMATERA SELATAN,64.44
BENGKULU,65.35
LAMPUNG,63.71
KEP. BANGKA BELITUNG,66.02
KEP. RIAU,71.13
DKI JAKARTA,76.31
JAWA BARAT,66.15
JAWA TENGAH,66.08
DI YOGYAKARTA,75.37
JAWA TIMUR,65.36
BANTEN,67.54
BALI,70.1
NUSA TENGGARA BARAT,61.16
NUSA TENGGARA TIMUR,59.21
KALIMANTAN BARAT,61.97
KALIMANTAN TENGAH,65.96
KALIMANTAN SELATAN,65.2
KALIMANTAN TIMUR,71.31
KALIMANTAN UTARA,-
SULAWESI UTARA,67.83
SULAWESI TENGAH,63.29
SULAWESI SELATAN,66
SULAWESI TENGGARA,65.99
GORONTALO,62.65
SULAWESI BARAT,59.74
MALUKU,64.27
MALUKU UTARA,62.79
PAPUA BARAT,59.6
PAPUA BARAT DAYA,-
PAPUA,54.45
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,66.53
