38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2012
ACEH,67.81
SUMATERA UTARA,67.74
SUMATERA BARAT,68.36
RIAU,69.15
JAMBI,66.94
SUMATERA SELATAN,65.79
BENGKULU,66.61
LAMPUNG,64.87
KEP. BANGKA BELITUNG,67.21
KEP. RIAU,72.36
DKI JAKARTA,77.53
JAWA BARAT,67.32
JAWA TENGAH,67.21
DI YOGYAKARTA,76.15
JAWA TIMUR,66.74
BANTEN,68.92
BALI,71.62
NUSA TENGGARA BARAT,62.98
NUSA TENGGARA TIMUR,60.81
KALIMANTAN BARAT,63.41
KALIMANTAN TENGAH,66.66
KALIMANTAN SELATAN,66.68
KALIMANTAN TIMUR,72.62
KALIMANTAN UTARA,-
SULAWESI UTARA,69.04
SULAWESI TENGAH,65
SULAWESI SELATAN,67.26
SULAWESI TENGGARA,67.07
GORONTALO,64.16
SULAWESI BARAT,61.01
MALUKU,65.43
MALUKU UTARA,63.93
PAPUA BARAT,60.3
PAPUA BARAT DAYA,-
PAPUA,55.55
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,67.7
