38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2014
ACEH,68.81
SUMATERA UTARA,68.87
SUMATERA BARAT,69.36
RIAU,70.33
JAMBI,68.24
SUMATERA SELATAN,66.75
BENGKULU,68.06
LAMPUNG,66.42
KEP. BANGKA BELITUNG,68.27
KEP. RIAU,73.4
DKI JAKARTA,78.39
JAWA BARAT,68.8
JAWA TENGAH,68.78
DI YOGYAKARTA,76.81
JAWA TIMUR,68.14
BANTEN,69.89
BALI,72.48
NUSA TENGGARA BARAT,64.31
NUSA TENGGARA TIMUR,62.26
KALIMANTAN BARAT,64.89
KALIMANTAN TENGAH,67.77
KALIMANTAN SELATAN,67.63
KALIMANTAN TIMUR,73.82
KALIMANTAN UTARA,68.64
SULAWESI UTARA,69.96
SULAWESI TENGAH,66.43
SULAWESI SELATAN,68.49
SULAWESI TENGGARA,68.07
GORONTALO,65.17
SULAWESI BARAT,62.24
MALUKU,66.74
MALUKU UTARA,65.18
PAPUA BARAT,61.28
PAPUA BARAT DAYA,-
PAPUA,56.75
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,68.9
