38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia (IPM) menurut Provinsi
,2022
ACEH,72.8
SUMATERA UTARA,72.71
SUMATERA BARAT,73.26
RIAU,73.52
JAMBI,72.14
SUMATERA SELATAN,70.9
BENGKULU,72.16
LAMPUNG,70.45
KEP. BANGKA BELITUNG,72.24
KEP. RIAU,76.46
DKI JAKARTA,81.65
JAWA BARAT,73.12
JAWA TENGAH,72.79
DI YOGYAKARTA,80.64
JAWA TIMUR,72.75
BANTEN,73.32
BALI,76.44
NUSA TENGGARA BARAT,69.46
NUSA TENGGARA TIMUR,65.9
KALIMANTAN BARAT,68.63
KALIMANTAN TENGAH,71.63
KALIMANTAN SELATAN,71.84
KALIMANTAN TIMUR,77.44
KALIMANTAN UTARA,71.83
SULAWESI UTARA,73.81
SULAWESI TENGAH,70.28
SULAWESI SELATAN,72.82
SULAWESI TENGGARA,72.23
GORONTALO,69.81
SULAWESI BARAT,66.92
MALUKU,70.22
MALUKU UTARA,69.47
PAPUA BARAT,65.16
PAPUA BARAT DAYA,67.59
PAPUA,71.76
PAPUA SELATAN,65.74
PAPUA TENGAH,58.25
PAPUA PEGUNUNGAN,51.7
INDONESIA,72.91
