Tahun,Inflasi_WB_Annual
2010,5.13420639015885
2011,5.35604849112582
2012,4.2795142691943
2013,6.41249457900391
2014,6.39492882396559
2015,6.36312061196646
2016,3.52580452815451
2017,3.80879857691949
2018,3.19834755924996
2019,3.03058460941661
2020,1.91983527270793
2021,1.56007882983334
2022,4.20946463714784
2023,3.66938654859761
2024,2.18151273615189
