Tahun,GDP_PerCapita_PPP
2010,8848.22473702066
2011,9274.96955181702
2012,9708.61182531081
2013,10121.8141535043
2014,10504.3869411088
2015,10893.6621142169
2016,11319.6634287738
2017,11772.5743296107
2018,12262.2310300771
2019,12757.7850854842
2020,12388.5449268131
2021,12757.0746440204
2022,13334.2653947637
2023,13889.9749067297
2024,14470.4372020578
