Provinsi,Tahun,Total_Pengeluaran,log_Total_Pengeluaran,UMP,log_UMP,TPT,Inflasi_Rata_Tahunan
Sulawesi Utara,2022,1236705.51,14.02796236372535,3310723.0,15.012677454552907,6.5600000000000005,0.45
Sumatera Barat,2022,1342985.51,14.110406430778829,2512539.0,14.73680475162075,6.225,0.45
Sumatera Selatan,2022,1148812.47,13.954240202485908,3144446.0,14.961148597997765,4.6850000000000005,0.45
Sumatera Utara,2022,1216496.65,14.011486509432373,2522610.0,14.740805034206076,5.8149999999999995,0.45
Aceh,2023,1225976.0,14.01924863510656,3413666.0,15.043297638036174,5.890000000000001,0.215
Bali,2023,1741523.0,14.370271149916316,2713672.0,14.8138136257509,3.21,0.215
Banten,2023,1743687.0,14.371512968364144,2661280.0,14.794318143783325,7.744999999999999,0.215
Bengkulu,2023,1332558.0,14.102611711715456,2418280.0,14.698567515150057,3.315,0.215
Di Yogyakarta,2023,1731560.0,14.364533871773805,1981782.0,14.499507502509795,3.635,0.215
Dki Jakarta,2023,2791716.0,14.842167376695505,4901798.0,15.405112838557551,7.050000000000001,0.215
Gorontalo,2023,1228893.0,14.021625135845602,2989350.0,14.910566864950432,3.065,0.215
Jambi,2023,1424125.0,14.169068850185722,2943033.0,14.894951579986117,4.515000000000001,0.215
Jawa Barat,2023,1567666.0,14.26509908488929,1986670.0,14.501970931579098,7.665,0.215
Jawa Tengah,2023,1209906.0,14.006054055114948,1958170.0,14.4875214322735,5.1850000000000005,0.215
Jawa Timur,2023,1323486.0,14.095780478160554,2040244.0,14.528580456648422,4.605,0.215
Kalimantan Barat,2023,1345552.0,14.11231563893444,2608602.0,14.774325386959827,4.785,0.215
Kalimantan Selatan,2023,1457344.0,14.192126845067891,3149978.0,14.962906344112927,4.13,0.215
Kalimantan Tengah,2023,1525785.0,14.238020245081687,3181013.0,14.972710571853316,3.9699999999999998,0.215
Kalimantan Timur,2023,1980275.0,14.49874678689568,3201396.0,14.979097835004271,5.84,0.215
Kalimantan Utara,2023,1693577.0,14.342354008638118,3251703.0,14.994689724596975,4.055,0.215
Kepulauan Bangka Belitung,2023,1727550.0,14.362215356619442,3498479.0,15.067839146416004,,0.215
Kepulauan Riau,2023,1989703.0,14.503496441918639,3279194.0,15.003108523408965,,0.215
Lampung,2023,1203017.0,14.000343957438394,2633285.0,14.783743053924049,4.205,0.215
Maluku,2023,1238170.0,14.029145848697853,2812828.0,14.849701296431224,6.195,0.215
Maluku Utara,2023,1317159.0,14.090988461577147,2976720.0,14.906332917097494,4.455,0.215
