Tanggal,Inflasi_MoM,IHK,USD_IDR,Inflasi_MoM_lag1,Inflasi_MoM_lag2,Inflasi_MoM_lag3,Inflasi_MoM_lag4,Inflasi_MoM_lag5,Inflasi_MoM_lag6,Inflasi_MoM_lag7,Inflasi_MoM_lag8,Inflasi_MoM_lag9,Inflasi_MoM_lag10,Inflasi_MoM_lag11,Inflasi_MoM_lag12,Bulan,Tahun
2022-08-01,-0.21,,14839.09090909091,0.64,0.61,0.4,0.95,0.66,-0.02,0.56,0.57,0.37,0.12,-0.04,0.03,8,2022
2022-09-01,1.17,,14983.09090909091,-0.21,0.64,0.61,0.4,0.95,0.66,-0.02,0.56,0.57,0.37,0.12,-0.04,9,2022
2022-10-01,-0.11,,15433.42857142857,1.17,-0.21,0.64,0.61,0.4,0.95,0.66,-0.02,0.56,0.57,0.37,0.12,10,2022
2022-11-01,0.09,,15661.181818181818,-0.11,1.17,-0.21,0.64,0.61,0.4,0.95,0.66,-0.02,0.56,0.57,0.37,11,2022
2022-12-01,0.66,,15597.363636363636,0.09,-0.11,1.17,-0.21,0.64,0.61,0.4,0.95,0.66,-0.02,0.56,0.57,12,2022
2023-01-01,0.34,,15250.047619047618,0.66,0.09,-0.11,1.17,-0.21,0.64,0.61,0.4,0.95,0.66,-0.02,0.56,1,2023
2023-02-01,0.16,,15129.65,0.34,0.66,0.09,-0.11,1.17,-0.21,0.64,0.61,0.4,0.95,0.66,-0.02,2,2023
2023-03-01,0.18,,15272.619047619048,0.16,0.34,0.66,0.09,-0.11,1.17,-0.21,0.64,0.61,0.4,0.95,0.66,3,2023
2023-04-01,0.33,,14829.285714285714,0.18,0.16,0.34,0.66,0.09,-0.11,1.17,-0.21,0.64,0.61,0.4,0.95,4,2023
2023-05-01,0.09,,14823.772727272728,0.33,0.18,0.16,0.34,0.66,0.09,-0.11,1.17,-0.21,0.64,0.61,0.4,5,2023
2023-06-01,0.14,,14935.695454545454,0.09,0.33,0.18,0.16,0.34,0.66,0.09,-0.11,1.17,-0.21,0.64,0.61,6,2023
2023-07-01,0.21,,15032.809523809523,0.14,0.09,0.33,0.18,0.16,0.34,0.66,0.09,-0.11,1.17,-0.21,0.64,7,2023
2023-08-01,-0.02,,15244.208695652173,0.21,0.14,0.09,0.33,0.18,0.16,0.34,0.66,0.09,-0.11,1.17,-0.21,8,2023
2023-09-01,0.19,,15360.047619047618,-0.02,0.21,0.14,0.09,0.33,0.18,0.16,0.34,0.66,0.09,-0.11,1.17,9,2023
2023-10-01,0.17,,15749.772727272728,0.19,-0.02,0.21,0.14,0.09,0.33,0.18,0.16,0.34,0.66,0.09,-0.11,10,2023
2023-11-01,0.38,,15589.318181818182,0.17,0.19,-0.02,0.21,0.14,0.09,0.33,0.18,0.16,0.34,0.66,0.09,11,2023
2023-12-01,0.41,,15496.142857142857,0.38,0.17,0.19,-0.02,0.21,0.14,0.09,0.33,0.18,0.16,0.34,0.66,12,2023
2024-01-01,0.04,,15607.04347826087,0.41,0.38,0.17,0.19,-0.02,0.21,0.14,0.09,0.33,0.18,0.16,0.34,1,2024
2024-02-01,0.37,,15643.97619047619,0.04,0.41,0.38,0.17,0.19,-0.02,0.21,0.14,0.09,0.33,0.18,0.16,2,2024
2024-03-01,0.52,,15697.190476190477,0.37,0.04,0.41,0.38,0.17,0.19,-0.02,0.21,0.14,0.09,0.33,0.18,3,2024
2024-04-01,0.25,,16082.122727272728,0.52,0.37,0.04,0.41,0.38,0.17,0.19,-0.02,0.21,0.14,0.09,0.33,4,2024
2024-05-01,-0.03,,16044.21111111111,0.25,0.52,0.37,0.04,0.41,0.38,0.17,0.19,-0.02,0.21,0.14,0.09,5,2024
2024-06-01,-0.08,,16044.21111111111,-0.03,0.25,0.52,0.37,0.04,0.41,0.38,0.17,0.19,-0.02,0.21,0.14,6,2024
2024-07-01,-0.18,,16044.21111111111,-0.08,-0.03,0.25,0.52,0.37,0.04,0.41,0.38,0.17,0.19,-0.02,0.21,7,2024
2024-08-01,-0.03,,16044.21111111111,-0.18,-0.08,-0.03,0.25,0.52,0.37,0.04,0.41,0.38,0.17,0.19,-0.02,8,2024
2024-09-01,-0.12,,16044.21111111111,-0.03,-0.18,-0.08,-0.03,0.25,0.52,0.37,0.04,0.41,0.38,0.17,0.19,9,2024
2024-10-01,0.08,,16044.21111111111,-0.12,-0.03,-0.18,-0.08,-0.03,0.25,0.52,0.37,0.04,0.41,0.38,0.17,10,2024
2024-11-01,0.3,,16044.21111111111,0.08,-0.12,-0.03,-0.18,-0.08,-0.03,0.25,0.52,0.37,0.04,0.41,0.38,11,2024
2024-12-01,0.44,,16044.21111111111,0.3,0.08,-0.12,-0.03,-0.18,-0.08,-0.03,0.25,0.52,0.37,0.04,0.41,12,2024
2025-01-01,-0.76,,16044.21111111111,0.44,0.3,0.08,-0.12,-0.03,-0.18,-0.08,-0.03,0.25,0.52,0.37,0.04,1,2025
2025-02-01,-0.48,,16044.21111111111,-0.76,0.44,0.3,0.08,-0.12,-0.03,-0.18,-0.08,-0.03,0.25,0.52,0.37,2,2025
2025-03-01,1.65,,16044.21111111111,-0.48,-0.76,0.44,0.3,0.08,-0.12,-0.03,-0.18,-0.08,-0.03,0.25,0.52,3,2025
2025-04-01,1.17,,16044.21111111111,1.65,-0.48,-0.76,0.44,0.3,0.08,-0.12,-0.03,-0.18,-0.08,-0.03,0.25,4,2025
2025-05-01,-0.37,,16044.21111111111,1.17,1.65,-0.48,-0.76,0.44,0.3,0.08,-0.12,-0.03,-0.18,-0.08,-0.03,5,2025
2025-06-01,0.19,,16044.21111111111,-0.37,1.17,1.65,-0.48,-0.76,0.44,0.3,0.08,-0.12,-0.03,-0.18,-0.08,6,2025
2025-07-01,0.3,,16044.21111111111,0.19,-0.37,1.17,1.65,-0.48,-0.76,0.44,0.3,0.08,-0.12,-0.03,-0.18,7,2025
2025-08-01,-0.08,,16044.21111111111,0.3,0.19,-0.37,1.17,1.65,-0.48,-0.76,0.44,0.3,0.08,-0.12,-0.03,8,2025
2025-09-01,0.21,,16044.21111111111,-0.08,0.3,0.19,-0.37,1.17,1.65,-0.48,-0.76,0.44,0.3,0.08,-0.12,9,2025
2025-10-01,0.28,,16044.21111111111,0.21,-0.08,0.3,0.19,-0.37,1.17,1.65,-0.48,-0.76,0.44,0.3,0.08,10,2025
2025-11-01,0.17,,16044.21111111111,0.28,0.21,-0.08,0.3,0.19,-0.37,1.17,1.65,-0.48,-0.76,0.44,0.3,11,2025
2025-12-01,0.64,,16044.21111111111,0.17,0.28,0.21,-0.08,0.3,0.19,-0.37,1.17,1.65,-0.48,-0.76,0.44,12,2025
2026-01-01,-0.15,,16044.21111111111,0.64,0.17,0.28,0.21,-0.08,0.3,0.19,-0.37,1.17,1.65,-0.48,-0.76,1,2026
2026-02-01,0.68,,16044.21111111111,-0.15,0.64,0.17,0.28,0.21,-0.08,0.3,0.19,-0.37,1.17,1.65,-0.48,2,2026
